soil_moisture_vwc,timestamp,hour,doy,month,hour_sin,hour_cos,doy_sin,doy_cos,month_sin,month_cos,site_name,comid,lat,lon
0.4807701,2025-01-20 14:00:00,14,20,1,-0.4999999999999998,-0.8660254037844388,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.48026443,2025-01-20 15:00:00,15,20,1,-0.7071067811865471,-0.7071067811865479,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47972333,2025-01-20 16:00:00,16,20,1,-0.8660254037844384,-0.5000000000000004,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4791603,2025-01-20 17:00:00,17,20,1,-0.9659258262890683,-0.25881904510252063,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47858918,2025-01-20 18:00:00,18,20,1,-1.0,-1.8369701987210297e-16,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4780426,2025-01-20 19:00:00,19,20,1,-0.9659258262890684,0.2588190451025203,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47753024,2025-01-20 20:00:00,20,20,1,-0.8660254037844386,0.5000000000000001,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47707963,2025-01-20 21:00:00,21,20,1,-0.7071067811865477,0.7071067811865474,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47670984,2025-01-20 22:00:00,22,20,1,-0.5000000000000004,0.8660254037844384,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47642314,2025-01-20 23:00:00,23,20,1,-0.25881904510252157,0.9659258262890681,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47615826,2025-01-21 00:00:00,0,21,1,0.0,1.0,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47590435,2025-01-21 01:00:00,1,21,1,0.25881904510252074,0.9659258262890683,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47566044,2025-01-21 02:00:00,2,21,1,0.49999999999999994,0.8660254037844387,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47542727,2025-01-21 03:00:00,3,21,1,0.7071067811865475,0.7071067811865476,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4752071,2025-01-21 04:00:00,4,21,1,0.8660254037844386,0.5000000000000001,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4749998,2025-01-21 05:00:00,5,21,1,0.9659258262890683,0.25881904510252074,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4748044,2025-01-21 06:00:00,6,21,1,1.0,6.123233995736766e-17,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47462428,2025-01-21 07:00:00,7,21,1,0.9659258262890683,-0.25881904510252063,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47445452,2025-01-21 08:00:00,8,21,1,0.8660254037844387,-0.49999999999999983,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47427666,2025-01-21 09:00:00,9,21,1,0.7071067811865476,-0.7071067811865475,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47409916,2025-01-21 10:00:00,10,21,1,0.49999999999999994,-0.8660254037844387,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4739281,2025-01-21 11:00:00,11,21,1,0.258819045102521,-0.9659258262890682,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47376716,2025-01-21 12:00:00,12,21,1,1.2246467991473532e-16,-1.0,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4736035,2025-01-21 13:00:00,13,21,1,-0.2588190451025208,-0.9659258262890683,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4734378,2025-01-21 14:00:00,14,21,1,-0.4999999999999998,-0.8660254037844388,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47326648,2025-01-21 15:00:00,15,21,1,-0.7071067811865471,-0.7071067811865479,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47308254,2025-01-21 16:00:00,16,21,1,-0.8660254037844384,-0.5000000000000004,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47289085,2025-01-21 17:00:00,17,21,1,-0.9659258262890683,-0.25881904510252063,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47269535,2025-01-21 18:00:00,18,21,1,-1.0,-1.8369701987210297e-16,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4725188,2025-01-21 19:00:00,19,21,1,-0.9659258262890684,0.2588190451025203,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47235346,2025-01-21 20:00:00,20,21,1,-0.8660254037844386,0.5000000000000001,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
